time,leaf1 input packet rate,leaf1 output packet rate,leaf2 input packet rate,leaf2 output packet rate,leaf3 input packet rate,leaf3 output packet rate,leaf4 input packet rate,leaf4 output packet rate,leaf5 input packet rate,leaf5 output packet rate,leaf6 input packet rate,leaf6 output packet rate,leaf7 input packet rate,leaf7 output packet rate,leaf8 input packet rate,leaf8 output packet rate,spine1 input packet rate,spine1 output packet rate,spine2 input packet rate,spine2 output packet rate,spine3 input packet rate,spine3 output packet rate,spine4 input packet rate,spine4 output packet rate
1501867732197000000,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1501867732200000000,,,,,,,,,,,1399825.0,574806.0,,,,,,,,,,,,
1501867732202000000,,,,,,,,,,,914286.0,757838.0,,,,,,,,,,,,
1501867732205000000,,,,,,,,,,,1507460.0,940320.0,,,,,,,,,,,,
1501867732208000000,,,,,,,,,,,925810.0,742027.0,,,,,,,,,,,,
1501867732210000000,,,,,,,,,,,533857.0,1263214.0,,,,,,,,,,,,
1501867732213000000,,,,,,,,,,,838038.0,786444.0,,,,,,,,,,,,
1501867732215000000,,,,,,,,,,,626181.0,1261284.0,,,,,,,,,,,,
1501867732218000000,,,,,,,,,,,671737.0,1058179.0,,,,,,,,,,,,
1501867732220000000,,,,,,,,,,,662492.0,1147946.0,,,,,,,,,,,,
1501867732223000000,,,,,,,,,,,655685.0,920186.0,,,,,,,,,,,,
1501867732226000000,,,,,,,,,,,770392.0,856153.0,,,,,,,,,,,,
1501867732228000000,,,,,,,,,,,829845.0,1092329.0,,,,,,,,,,,,
1501867732231000000,,,,,,,,,,,379076.0,1121493.0,,,,,,,,,,,,
1501867732233000000,,,,,,,,,,,676221.0,1021518.0,,,,,,,,,,,,
1501867732236000000,,,,,,,,,,,450619.0,1292612.0,,,,,,,,,,,,
1501867732238000000,,,,,,,,,,,545790.0,766066.0,,,,,,,,,,,,
1501867732240000000,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1501867732243000000,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1501867732245000000,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1501867732247000000,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1501867732250000000,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1501867732252000000,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1501867732254000000,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1501867732256000000,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1501867732259000000,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,
1501867732261000000,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
1501867732263000000,,,,,,,,,,,7851267.0,6309580.0,,,,,,,,,,,,
1501867732266000000,,,,,,,,,,,7752870.0,6079299.0,,,,,,,,,,,,
1501867732481000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732484000000,,,,,,,,,6.0,5.0,,,,,,,,,,,,,,
1501867732486000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732488000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732491000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732493000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732496000000,,,,,,,,,1954418.0,989617.0,,,,,,,,,,,,,,
1501867732498000000,,,,,,,,,1395680.0,1198280.0,,,,,,,,,,,,,,
1501867732501000000,,,,,,,,,1321129.0,744190.0,,,,,,,,,,,,,,
1501867732503000000,,,,,,,,,1362585.0,945571.0,,,,,,,,,,,,,,
1501867732506000000,,,,,,,,,531857.0,810227.0,,,,,,,,,,,,,,
1501867732508000000,,,,,,,,,810542.0,776556.0,,,,,,,,,,,,,,
1501867732510000000,,,,,,,,,711883.0,1117459.0,,,,,,,,,,,,,,
1501867732513000000,,,,,,,,,712888.0,716883.0,,,,,,,,,,,,,,
1501867732515000000,,,,,,,,,851051.0,1294933.0,,,,,,,,,,,,,,
1501867732518000000,,,,,,,,,724162.0,1268506.0,,,,,,,,,,,,,,
1501867732520000000,,,,,,,,,797607.0,1264583.0,,,,,,,,,,,,,,
1501867732523000000,,,,,,,,,458580.0,1191273.0,,,,,,,,,,,,,,
1501867732525000000,,,,,,,,,1031815.0,775036.0,,,,,,,,,,,,,,
1501867732528000000,,,,,,,,,927097.0,364839.0,,,,,,,,,,,,,,
1501867732530000000,,,,,,,,,448756.0,617474.0,,,,,,,,,,,,,,
1501867732533000000,,,,,,,,,440338.0,1008305.0,,,,,,,,,,,,,,
1501867732535000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732538000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732540000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732542000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732544000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732547000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732550000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732552000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732555000000,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,
1501867732557000000,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
1501867732559000000,,,,,,,,,7402609.0,7487171.0,,,,,,,,,,,,,,
1501867732562000000,,,,,,,,,7681646.0,6993761.0,,,,,,,,,,,,,,
1501867732574000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732576000000,,,,,,,,,,,,,7.0,5.0,,,,,,,,,,
1501867732579000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732581000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732583000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732586000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732588000000,,,,,,,,,,,,,2187501.0,1012942.0,,,,,,,,,,
1501867732590000000,,,,,,,,,,,,,2485848.0,917774.0,,,,,,,,,,
1501867732593000000,,,,,,,,,,,,,2239813.0,993934.0,,,,,,,,,,
1501867732595000000,,,,,,,,,,,,,1457324.0,761035.0,,,,,,,,,,
1501867732597000000,,,,,,,,,,,,,1183184.0,912901.0,,,,,,,,,,
1501867732600000000,,,,,,,,,,,,,802802.0,778032.0,,,,,,,,,,
1501867732602000000,,,,,,,,,,,,,585583.0,606688.0,,,,,,,,,,
1501867732604000000,,,,,,,,,,,,,947852.0,968554.0,,,,,,,,,,
1501867732607000000,,,,,,,,,,,,,644624.0,794102.0,,,,,,,,,,
1501867732609000000,,,,,,,,,,,,,583115.0,760262.0,,,,,,,,,,
1501867732611000000,,,,,,,,,,,,,656544.0,1228541.0,,,,,,,,,,
1501867732613000000,,,,,,,,,,,,,549528.0,1261645.0,,,,,,,,,,
1501867732616000000,,,,,,,,,,,,,348905.0,1235165.0,,,,,,,,,,
1501867732618000000,,,,,,,,,,,,,467882.0,1266273.0,,,,,,,,,,
1501867732620000000,,,,,,,,,,,,,488498.0,784425.0,,,,,,,,,,
1501867732623000000,,,,,,,,,,,,,867321.0,1061448.0,,,,,,,,,,
1501867732625000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732627000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732629000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732632000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732634000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732636000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732639000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732641000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732643000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732645000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501867732648000000,,,,,,,,,,,,,7902213.0,8170677.0,,,,,,,,,,
1501867732650000000,,,,,,,,,,,,,7441557.0,8325014.0,,,,,,,,,,
1501867732808000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732811000000,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,
1501867732813000000,,,,,3451755.0,4255965.0,,,,,,,,,,,,,,,,,,
1501867732816000000,,,,,2848645.0,3103819.0,,,,,,,,,,,,,,,,,,
1501867732818000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732820000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732823000000,,,,,688061.0,7516585.0,,,,,,,,,,,,,,,,,,
1501867732825000000,,,,,589301.0,7094026.0,,,,,,,,,,,,,,,,,,
1501867732827000000,,,,,1260229.0,1.0,,,,,,,,,,,,,,,,,,
1501867732829000000,,,,,1035885.0,1.0,,,,,,,,,,,,,,,,,,
1501867732832000000,,,,,915366.0,0.0,,,,,,,,,,,,,,,,,,
1501867732834000000,,,,,1075866.0,0.0,,,,,,,,,,,,,,,,,,
1501867732836000000,,,,,865139.0,0.0,,,,,,,,,,,,,,,,,,
1501867732839000000,,,,,830514.0,0.0,,,,,,,,,,,,,,,,,,
1501867732841000000,,,,,896287.0,1.0,,,,,,,,,,,,,,,,,,
1501867732843000000,,,,,1090629.0,1.0,,,,,,,,,,,,,,,,,,
1501867732846000000,,,,,921057.0,1.0,,,,,,,,,,,,,,,,,,
1501867732848000000,,,,,1100183.0,1.0,,,,,,,,,,,,,,,,,,
1501867732850000000,,,,,1045539.0,0.0,,,,,,,,,,,,,,,,,,
1501867732853000000,,,,,1079659.0,0.0,,,,,,,,,,,,,,,,,,
1501867732855000000,,,,,1044769.0,0.0,,,,,,,,,,,,,,,,,,
1501867732857000000,,,,,1124415.0,0.0,,,,,,,,,,,,,,,,,,
1501867732860000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732862000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732864000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732867000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732869000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732871000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732874000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732876000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732879000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732881000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732884000000,,,,,8309467.0,8201523.0,,,,,,,,,,,,,,,,,,
1501867732886000000,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,
1501867732920000000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1501867732923000000,9.0,13.0,,,,,,,,,,,,,,,,,,,,,,
1501867732925000000,4011541.0,3032467.0,,,,,,,,,,,,,,,,,,,,,,
1501867732928000000,3481719.0,3931865.0,,,,,,,,,,,,,,,,,,,,,,
1501867732930000000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1501867732932000000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1501867732935000000,641609.0,1078642.0,,,,,,,,,,,,,,,,,,,,,,
1501867732937000000,617549.0,989903.0,,,,,,,,,,,,,,,,,,,,,,
1501867732939000000,1230744.0,875030.0,,,,,,,,,,,,,,,,,,,,,,
1501867732941000000,918926.0,1117154.0,,,,,,,,,,,,,,,,,,,,,,
1501867732944000000,603823.0,1011926.0,,,,,,,,,,,,,,,,,,,,,,
1501867732946000000,288363.0,734366.0,,,,,,,,,,,,,,,,,,,,,,
1501867732948000000,1382960.0,747531.0,,,,,,,,,,,,,,,,,,,,,,
1501867732951000000,601918.0,1563407.0,,,,,,,,,,,,,,,,,,,,,,
1501867732953000000,933543.0,1189670.0,,,,,,,,,,,,,,,,,,,,,,
1501867732955000000,1074510.0,971323.0,,,,,,,,,,,,,,,,,,,,,,
1501867732958000000,1237505.0,952166.0,,,,,,,,,,,,,,,,,,,,,,
1501867732960000000,1368261.0,765063.0,,,,,,,,,,,,,,,,,,,,,,
1501867732963000000,775775.0,1069914.0,,,,,,,,,,,,,,,,,,,,,,
1501867732965000000,853000.0,946018.0,,,,,,,,,,,,,,,,,,,,,,
1501867732967000000,1384530.0,1001638.0,,,,,,,,,,,,,,,,,,,,,,
