time,leaf1 input packet rate,leaf1 output packet rate,leaf2 input packet rate,leaf2 output packet rate,leaf3 input packet rate,leaf3 output packet rate,leaf4 input packet rate,leaf4 output packet rate,leaf5 input packet rate,leaf5 output packet rate,leaf6 input packet rate,leaf6 output packet rate,leaf7 input packet rate,leaf7 output packet rate,leaf8 input packet rate,leaf8 output packet rate,spine1 input packet rate,spine1 output packet rate,spine2 input packet rate,spine2 output packet rate,spine3 input packet rate,spine3 output packet rate,spine4 input packet rate,spine4 output packet rate
1501868629618000000,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,
1501868629620000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501868629621000000,,,,,,,,,,,7825406.0,6291422.0,,,,,,,,,,,,
1501868629622000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501868629624000000,,,,,,,,,,,7780086.0,6119448.0,,,,,,,,,,,,
1501868629625000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501868629627000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501868629629000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501868629631000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501868629634000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501868629636000000,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
1501868629638000000,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,
1501868629641000000,,,,,,,,,,,,,7938786.0,8129188.0,,,,,,,,,,
1501868629643000000,,,,,,,,,,,,,7520120.0,8238976.0,,,,,,,,,,
1501868630183000000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1501868630185000000,10.0,13.0,,,,,,,,,,,,,,,,,,,,,,
1501868630188000000,4003224.0,3021615.0,,,,,,,,,,,,,,,,,,,,,,
1501868630190000000,3484822.0,3955240.0,,,,,,,,,,,,,,,,,,,,,,
1501868630192000000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1501868630195000000,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1501868630198000000,689993.0,1079053.0,,,,,,,,,,,,,,,,,,,,,,
1501868630202000000,620692.0,990684.0,,,,,,,,,,,,,,,,,,,,,,
1501868630205000000,1268188.0,879088.0,,,,,,,,,,,,,,,,,,,,,,
1501868630207000000,985467.0,1132228.0,,,,,,,,,,,,,,,,,,,,,,
1501868630210000000,620055.0,1099363.0,,,,,,,,,,,,,,,,,,,,,,
1501868630212000000,304810.0,764495.0,,,,,,,,,,,,,,,,,,,,,,
1501868630214000000,1365269.0,770788.0,,,,,,,,,,,,,,,,,,,,,,
1501868630217000000,638208.0,1556750.0,,,,,,,,,,,,,,,,,,,,,,
1501868630219000000,908894.0,1115724.0,,,,,,,,,,,,,,,,,,,,,,
